8.9838700000e-01 2.5042222500e-02 0 2.4957777500e-02
9.0011600000e-01 2.5041206050e-02 0 2.4958793950e-02
9.0240500000e-01 2.5040546750e-02 0 2.4959453250e-02
9.0866600000e-01 2.5040327150e-02 0 2.4959672850e-02
9.1605100000e-01 2.5040629550e-02 0 2.4959370450e-02
9.2229900000e-01 2.5040959400e-02 0 2.4959040600e-02
9.2968000000e-01 2.5041481600e-02 0 2.4958518400e-02
9.4219300000e-01 2.5041344550e-02 0 2.4958655450e-02
9.4844400000e-01 2.5041537050e-02 0 2.4958462950e-02
9.5183900000e-01 2.5042278900e-02 0 2.4957721100e-02
9.5466800000e-01 2.5042910850e-02 0 2.4957089150e-02
9.5864500000e-01 2.5043103250e-02 0 2.4956896750e-02
9.6151200000e-01 2.5042031900e-02 0 2.4957968100e-02
9.6494800000e-01 2.5040988050e-02 0 2.4959011950e-02
9.6782600000e-01 2.5039449650e-02 0 2.4960550350e-02
9.7240200000e-01 2.5038268450e-02 0 2.4961731550e-02
9.8264800000e-01 2.5037829200e-02 0 2.4962170800e-02
9.8609400000e-01 2.5036345750e-02 0 2.4963654250e-02
9.8896800000e-01 2.5034999700e-02 0 2.4965000300e-02
9.9409700000e-01 2.5034505350e-02 0 2.4965494650e-02
