0.3546 0.234889 0.164539 0.128626 0.105595 0.0912489 0.0830543 0.0723964 0.0718136 0.0642744 0.0614227 0.058061 
0.235538 0.120908 0.0807217 0.0617845 0.0533644 0.0488276 0.0453478 0.0420493 0.0411001 0.0389543 0.038739 0.0372355 
0.191296 0.0920673 0.062899 0.052558 0.045921 0.0444199 0.0427046 0.0417002 0.0411575 0.0413585 0.0397998 0.0387958 
0.187923 0.0847753 0.0597361 0.0505115 0.0460182 0.0442599 0.0428138 0.041242 0.0412626 0.0408038 0.0405728 0.0398016 
0.20664 0.0980633 0.0652677 0.0517744 0.0469269 0.0434907 0.0421092 0.0405322 0.0397746 0.0389419 0.0383369 0.0375203 
0.281937 0.147929 0.0942509 0.0797444 0.0700312 0.0620893 0.0603941 0.0600649 0.0580333 0.0557506 0.0563486 0.0544223 
0.197561 0.0741796 0.0477029 0.0351763 0.0304947 0.0265926 0.0242087 0.0234867 0.0229118 0.0223575 0.0220288 0.0213995 
0.193418 0.0712236 0.0470546 0.0351744 0.0304475 0.0271846 0.024944 0.0231243 0.0226027 0.0216769 0.0214032 0.0207816 
0.1815 0.0733835 0.0497362 0.0394096 0.0355155 0.0325169 0.0302282 0.0300149 0.0287505 0.0283727 0.0276131 0.0279952 
0.181413 0.0761176 0.0513456 0.0417165 0.0384584 0.0361223 0.0341628 0.0337311 0.0327498 0.0323129 0.0316822 0.0311541 
0.192237 0.0752679 0.0484751 0.0388646 0.0337283 0.0307344 0.0285149 0.0271437 0.025932 0.025651 0.0254839 0.025232 
0.231313 0.0790043 0.0495153 0.0371601 0.0316388 0.0273151 0.0258987 0.0242037 0.0235934 0.0227678 0.0221379 0.0214257 
0.0118112 0.00959921 0.00960125 0.01038 0.010145 0.0106394 0.010206 0.0115636 0.011287 0.0122353 0.0128087 0.0136392 
0.0128497 0.0107201 0.0110627 0.0118525 0.0129018 0.0139276 0.0147615 0.0160195 0.01724 0.0183623 0.0195748 0.0209847 
0.0103808 0.00975927 0.0107084 0.0123044 0.01409 0.0162148 0.0182529 0.0203707 0.0223197 0.0248382 0.0265822 0.0284195 
0.00988917 0.00973517 0.0109768 0.0128432 0.0146616 0.0169673 0.0194262 0.0217414 0.0240811 0.0264493 0.0290162 0.0311176 
0.0102551 0.0102977 0.0107432 0.0118969 0.0137827 0.0150959 0.0170108 0.0186415 0.0207983 0.0228419 0.0244844 0.0262824 
0.0159253 0.0140605 0.0153312 0.0165846 0.0188483 0.0205886 0.0242449 0.0258799 0.0290507 0.03109 0.0338463 0.035082 
