 #####
 #####          2:pi+       3:pi0       4:pi-       5:rho+      6:rho0      7:rho-      8:divMes    9:K+       10:K0       11:K~0      12:K-       13:p        14:n        15:n~       16:p~       17:Delta++  18:Delta+   19:Delta0   20:Delta-   21:other M  22:other B  23:other B~ 
    3.00000  8.3000E-02  5.8000E-02  3.7200E-02  4.0000E-04  0.0000E+00  0.0000E+00  6.4000E-03  4.0000E-04  2.0000E-04  0.0000E+00  0.0000E+00  3.6002E+00  4.0096E+00  0.0000E+00  0.0000E+00  1.1400E-01  9.6200E-02  5.8200E-02  3.1800E-02  0.0000E+00  9.0000E-02  0.0000E+00  8.1856E+00
    3.20000  9.2200E-02  6.4000E-02  3.9600E-02  6.0000E-04  4.0000E-04  2.0000E-04  6.4000E-03  4.0000E-04  2.0000E-04  0.0000E+00  0.0000E+00  3.5762E+00  4.0106E+00  0.0000E+00  0.0000E+00  1.1920E-01  1.0200E-01  6.4800E-02  3.3200E-02  0.0000E+00  9.4000E-02  0.0000E+00  8.2040E+00
    3.40000  1.0260E-01  7.1800E-02  4.4400E-02  1.0000E-03  6.0000E-04  6.0000E-04  6.2000E-03  6.0000E-04  2.0000E-04  0.0000E+00  0.0000E+00  3.5582E+00  4.0168E+00  0.0000E+00  0.0000E+00  1.2500E-01  1.0280E-01  6.7200E-02  3.3800E-02  0.0000E+00  9.6200E-02  0.0000E+00  8.2280E+00
    3.60000  1.0960E-01  7.7600E-02  5.0400E-02  8.0000E-04  8.0000E-04  8.0000E-04  7.0000E-03  6.0000E-04  2.0000E-04  0.0000E+00  0.0000E+00  3.5458E+00  4.0122E+00  0.0000E+00  0.0000E+00  1.2980E-01  1.0620E-01  7.1000E-02  3.6600E-02  0.0000E+00  9.8400E-02  0.0000E+00  8.2478E+00
    3.80000  1.1980E-01  8.3600E-02  5.3400E-02  8.0000E-04  8.0000E-04  1.2000E-03  7.4000E-03  6.0000E-04  2.0000E-04  0.0000E+00  0.0000E+00  3.5374E+00  4.0058E+00  0.0000E+00  0.0000E+00  1.2800E-01  1.1140E-01  7.3400E-02  3.8800E-02  0.0000E+00  1.0520E-01  0.0000E+00  8.2678E+00
    4.00000  1.3100E-01  9.1800E-02  5.5000E-02  8.0000E-04  8.0000E-04  1.0000E-03  7.6000E-03  6.0000E-04  4.0000E-04  0.0000E+00  0.0000E+00  3.5286E+00  4.0032E+00  0.0000E+00  0.0000E+00  1.3140E-01  1.1020E-01  7.7800E-02  4.3800E-02  0.0000E+00  1.0500E-01  0.0000E+00  8.2890E+00
    4.20000  1.4000E-01  9.7000E-02  5.8000E-02  1.2000E-03  1.0000E-03  1.0000E-03  8.4000E-03  6.0000E-04  4.0000E-04  0.0000E+00  0.0000E+00  3.5290E+00  3.9996E+00  0.0000E+00  0.0000E+00  1.2840E-01  1.1160E-01  8.1400E-02  4.5400E-02  0.0000E+00  1.0460E-01  0.0000E+00  8.3076E+00
    4.40000  1.4780E-01  1.0380E-01  6.3800E-02  1.6000E-03  1.6000E-03  1.0000E-03  8.2000E-03  6.0000E-04  4.0000E-04  0.0000E+00  0.0000E+00  3.5242E+00  4.0012E+00  0.0000E+00  0.0000E+00  1.3020E-01  1.1320E-01  8.2000E-02  4.6600E-02  0.0000E+00  1.0260E-01  0.0000E+00  8.3288E+00
    4.60000  1.5840E-01  1.1080E-01  6.8400E-02  2.2000E-03  1.6000E-03  1.2000E-03  9.6000E-03  6.0000E-04  6.0000E-04  0.0000E+00  0.0000E+00  3.5212E+00  4.0012E+00  0.0000E+00  0.0000E+00  1.2800E-01  1.1600E-01  8.2000E-02  4.9400E-02  0.0000E+00  1.0220E-01  0.0000E+00  8.3534E+00
    4.80000  1.6920E-01  1.1980E-01  7.3800E-02  2.2000E-03  1.4000E-03  8.0000E-04  1.0600E-02  6.0000E-04  6.0000E-04  0.0000E+00  0.0000E+00  3.5232E+00  4.0016E+00  0.0000E+00  0.0000E+00  1.2640E-01  1.1480E-01  8.1600E-02  5.1000E-02  0.0000E+00  1.0140E-01  0.0000E+00  8.3790E+00
    5.00000  1.7840E-01  1.2580E-01  7.9000E-02  2.0000E-03  1.8000E-03  8.0000E-04  1.1000E-02  8.0000E-04  6.0000E-04  0.0000E+00  0.0000E+00  3.5224E+00  4.0048E+00  0.0000E+00  0.0000E+00  1.2720E-01  1.1420E-01  8.2000E-02  5.1000E-02  0.0000E+00  9.8400E-02  0.0000E+00  8.4002E+00
