# r [fm], rho_B, rho_p, rho_n
  0.00  1.2580E-01  5.9119E-02  6.6677E-02
  0.01  1.2580E-01  5.9119E-02  6.6677E-02
  0.02  1.2579E-01  5.9119E-02  6.6676E-02
  0.03  1.2579E-01  5.9118E-02  6.6676E-02
  0.04  1.2579E-01  5.9117E-02  6.6675E-02
  0.05  1.2579E-01  5.9115E-02  6.6673E-02
  0.06  1.2578E-01  5.9112E-02  6.6670E-02
  0.07  1.2577E-01  5.9108E-02  6.6666E-02
  0.08  1.2576E-01  5.9103E-02  6.6661E-02
  0.09  1.2575E-01  5.9096E-02  6.6654E-02
  0.10  1.2574E-01  5.9089E-02  6.6647E-02
  0.11  1.2572E-01  5.9080E-02  6.6637E-02
  0.12  1.2570E-01  5.9069E-02  6.6626E-02
  0.13  1.2567E-01  5.9057E-02  6.6614E-02
  0.14  1.2564E-01  5.9043E-02  6.6600E-02
  0.15  1.2561E-01  5.9028E-02  6.6584E-02
  0.16  1.2558E-01  5.9011E-02  6.6567E-02
  0.17  1.2554E-01  5.8994E-02  6.6549E-02
  0.18  1.2550E-01  5.8975E-02  6.6530E-02
  0.19  1.2546E-01  5.8955E-02  6.6509E-02
  0.20  1.2542E-01  5.8934E-02  6.6487E-02
  0.21  1.2538E-01  5.8911E-02  6.6464E-02
  0.22  1.2533E-01  5.8888E-02  6.6440E-02
  0.23  1.2528E-01  5.8863E-02  6.6415E-02
  0.24  1.2523E-01  5.8838E-02  6.6389E-02
  0.25  1.2517E-01  5.8811E-02  6.6361E-02
  0.26  1.2512E-01  5.8784E-02  6.6332E-02
  0.27  1.2506E-01  5.8755E-02  6.6303E-02
  0.28  1.2500E-01  5.8725E-02  6.6272E-02
  0.29  1.2493E-01  5.8694E-02  6.6240E-02
  0.30  1.2487E-01  5.8662E-02  6.6207E-02
  0.31  1.2480E-01  5.8629E-02  6.6173E-02
  0.32  1.2473E-01  5.8594E-02  6.6137E-02
  0.33  1.2466E-01  5.8559E-02  6.6101E-02
  0.34  1.2459E-01  5.8523E-02  6.6063E-02
  0.35  1.2451E-01  5.8485E-02  6.6025E-02
  0.36  1.2443E-01  5.8446E-02  6.5985E-02
  0.37  1.2435E-01  5.8406E-02  6.5944E-02
  0.38  1.2427E-01  5.8365E-02  6.5902E-02
  0.39  1.2418E-01  5.8323E-02  6.5858E-02
  0.40  1.2409E-01  5.8280E-02  6.5814E-02
  0.41  1.2400E-01  5.8236E-02  6.5768E-02
  0.42  1.2391E-01  5.8190E-02  6.5721E-02
  0.43  1.2382E-01  5.8144E-02  6.5673E-02
  0.44  1.2372E-01  5.8096E-02  6.5624E-02
  0.45  1.2362E-01  5.8047E-02  6.5574E-02
  0.46  1.2352E-01  5.7997E-02  6.5522E-02
  0.47  1.2342E-01  5.7946E-02  6.5470E-02
  0.48  1.2331E-01  5.7894E-02  6.5416E-02
  0.49  1.2320E-01  5.7841E-02  6.5361E-02
  0.50  1.2309E-01  5.7786E-02  6.5304E-02
  0.51  1.2298E-01  5.7730E-02  6.5247E-02
  0.52  1.2286E-01  5.7674E-02  6.5188E-02
  0.53  1.2274E-01  5.7615E-02  6.5129E-02
  0.54  1.2262E-01  5.7556E-02  6.5068E-02
  0.55  1.2250E-01  5.7496E-02  6.5006E-02
  0.56  1.2238E-01  5.7434E-02  6.4942E-02
  0.57  1.2225E-01  5.7372E-02  6.4878E-02
  0.58  1.2212E-01  5.7308E-02  6.4812E-02
  0.59  1.2199E-01  5.7243E-02  6.4745E-02
  0.60  1.2185E-01  5.7176E-02  6.4676E-02
  0.61  1.2172E-01  5.7109E-02  6.4607E-02
  0.62  1.2158E-01  5.7040E-02  6.4536E-02
  0.63  1.2143E-01  5.6971E-02  6.4464E-02
  0.64  1.2129E-01  5.6900E-02  6.4391E-02
  0.65  1.2114E-01  5.6827E-02  6.4317E-02
  0.66  1.2100E-01  5.6754E-02  6.4241E-02
  0.67  1.2084E-01  5.6679E-02  6.4164E-02
  0.68  1.2069E-01  5.6603E-02  6.4086E-02
  0.69  1.2053E-01  5.6526E-02  6.4007E-02
  0.70  1.2037E-01  5.6448E-02  6.3926E-02
  0.71  1.2021E-01  5.6368E-02  6.3844E-02
  0.72  1.2005E-01  5.6288E-02  6.3761E-02
  0.73  1.1988E-01  5.6206E-02  6.3677E-02
  0.74  1.1971E-01  5.6122E-02  6.3591E-02
  0.75  1.1954E-01  5.6038E-02  6.3504E-02
  0.76  1.1937E-01  5.5952E-02  6.3415E-02
  0.77  1.1919E-01  5.5865E-02  6.3326E-02
  0.78  1.1901E-01  5.5777E-02  6.3235E-02
  0.79  1.1883E-01  5.5687E-02  6.3143E-02
  0.80  1.1865E-01  5.5596E-02  6.3049E-02
  0.81  1.1846E-01  5.5504E-02  6.2955E-02
  0.82  1.1827E-01  5.5411E-02  6.2858E-02
  0.83  1.1808E-01  5.5316E-02  6.2761E-02
  0.84  1.1788E-01  5.5220E-02  6.2662E-02
  0.85  1.1769E-01  5.5123E-02  6.2562E-02
  0.86  1.1749E-01  5.5025E-02  6.2461E-02
  0.87  1.1728E-01  5.4925E-02  6.2358E-02
  0.88  1.1708E-01  5.4824E-02  6.2254E-02
  0.89  1.1687E-01  5.4721E-02  6.2148E-02
  0.90  1.1666E-01  5.4618E-02  6.2042E-02
  0.91  1.1645E-01  5.4513E-02  6.1934E-02
  0.92  1.1623E-01  5.4406E-02  6.1824E-02
  0.93  1.1601E-01  5.4298E-02  6.1713E-02
  0.94  1.1579E-01  5.4189E-02  6.1601E-02
