# RTF-Densities and RTF-fields
#     r     Pf_p     Pf_n     rhov_p     rhov_n     Sigma     Omega     Rho     Coulomb     Ef_p     Ef_n
    0.33000E+00    0.23706E+03    0.24683E+03    0.58559E-01    0.66101E-01    0.30351E+00    0.24976E+00   -0.19742E-02    0.25752E-02   -0.10306E-01   -0.54525E-02
    0.34000E+00    0.23701E+03    0.24679E+03    0.58523E-01    0.66063E-01    0.30331E+00    0.24960E+00   -0.19739E-02    0.25740E-02   -0.10306E-01   -0.54526E-02
    0.35000E+00    0.23696E+03    0.24674E+03    0.58485E-01    0.66025E-01    0.30312E+00    0.24943E+00   -0.19736E-02    0.25728E-02   -0.10306E-01   -0.54527E-02
    0.36000E+00    0.23691E+03    0.24669E+03    0.58446E-01    0.65985E-01    0.30291E+00    0.24926E+00   -0.19732E-02    0.25715E-02   -0.10306E-01   -0.54528E-02
    0.37000E+00    0.23686E+03    0.24664E+03    0.58406E-01    0.65944E-01    0.30270E+00    0.24908E+00   -0.19729E-02    0.25702E-02   -0.10306E-01   -0.54529E-02
    0.38000E+00    0.23680E+03    0.24658E+03    0.58365E-01    0.65902E-01    0.30249E+00    0.24890E+00   -0.19726E-02    0.25689E-02   -0.10306E-01   -0.54530E-02
    0.39000E+00    0.23675E+03    0.24653E+03    0.58323E-01    0.65858E-01    0.30227E+00    0.24871E+00   -0.19722E-02    0.25675E-02   -0.10306E-01   -0.54530E-02
    0.40000E+00    0.23669E+03    0.24647E+03    0.58280E-01    0.65814E-01    0.30204E+00    0.24852E+00   -0.19718E-02    0.25661E-02   -0.10306E-01   -0.54531E-02
    0.41000E+00    0.23663E+03    0.24642E+03    0.58236E-01    0.65768E-01    0.30181E+00    0.24833E+00   -0.19715E-02    0.25647E-02   -0.10306E-01   -0.54532E-02
    0.42000E+00    0.23657E+03    0.24636E+03    0.58190E-01    0.65721E-01    0.30157E+00    0.24812E+00   -0.19711E-02    0.25632E-02   -0.10306E-01   -0.54533E-02
    0.43000E+00    0.23650E+03    0.24630E+03    0.58144E-01    0.65673E-01    0.30132E+00    0.24792E+00   -0.19707E-02    0.25617E-02   -0.10306E-01   -0.54534E-02
    0.44000E+00    0.23644E+03    0.24624E+03    0.58096E-01    0.65624E-01    0.30107E+00    0.24771E+00   -0.19703E-02    0.25602E-02   -0.10306E-01   -0.54535E-02
    0.45000E+00    0.23637E+03    0.24617E+03    0.58047E-01    0.65574E-01    0.30082E+00    0.24749E+00   -0.19699E-02    0.25586E-02   -0.10306E-01   -0.54536E-02
    0.46000E+00    0.23630E+03    0.24611E+03    0.57997E-01    0.65522E-01    0.30055E+00    0.24727E+00   -0.19695E-02    0.25570E-02   -0.10306E-01   -0.54538E-02
    0.47000E+00    0.23623E+03    0.24604E+03    0.57946E-01    0.65470E-01    0.30028E+00    0.24704E+00   -0.19691E-02    0.25554E-02   -0.10306E-01   -0.54539E-02
    0.48000E+00    0.23616E+03    0.24598E+03    0.57894E-01    0.65416E-01    0.30001E+00    0.24681E+00   -0.19686E-02    0.25537E-02   -0.10306E-01   -0.54540E-02
    0.49000E+00    0.23609E+03    0.24591E+03    0.57841E-01    0.65361E-01    0.29973E+00    0.24658E+00   -0.19682E-02    0.25520E-02   -0.10307E-01   -0.54542E-02
    0.50000E+00    0.23602E+03    0.24584E+03    0.57786E-01    0.65304E-01    0.29944E+00    0.24633E+00   -0.19678E-02    0.25503E-02   -0.10307E-01   -0.54544E-02
    0.51000E+00    0.23594E+03    0.24577E+03    0.57730E-01    0.65247E-01    0.29915E+00    0.24609E+00   -0.19673E-02    0.25485E-02   -0.10307E-01   -0.54545E-02
    0.52000E+00    0.23586E+03    0.24569E+03    0.57674E-01    0.65188E-01    0.29885E+00    0.24584E+00   -0.19668E-02    0.25467E-02   -0.10307E-01   -0.54547E-02
