# RTF-Densities and RTF-fields
#     r     Pf_p     Pf_n     rhov_p     rhov_n     Sigma     Omega     Rho     Coulomb     Ef_p     Ef_n
    0.37700E+01    0.15825E+01    0.95201E+01    0.17419E-07    0.37924E-05    0.76341E-02    0.25681E-02   -0.16995E-03    0.11463E-02   -0.40884E-02   -0.48474E-02
    0.37800E+01    0.15715E+01    0.76748E+01    0.17059E-07    0.19870E-05    0.74200E-02    0.24618E-02   -0.16308E-03    0.11432E-02   -0.39767E-02   -0.47635E-02
    0.37900E+01    0.15606E+01    0.63888E+01    0.16706E-07    0.11462E-05    0.72119E-02    0.23599E-02   -0.15648E-03    0.11402E-02   -0.38670E-02   -0.46736E-02
    0.38000E+01    0.15498E+01    0.56934E+01    0.16360E-07    0.81117E-06    0.70097E-02    0.22622E-02   -0.15015E-03    0.11372E-02   -0.37592E-02   -0.45799E-02
    0.38100E+01    0.15390E+01    0.51454E+01    0.16021E-07    0.59876E-06    0.68132E-02    0.21685E-02   -0.14408E-03    0.11342E-02   -0.36533E-02   -0.44864E-02
    0.38200E+01    0.15283E+01    0.46026E+01    0.15690E-07    0.42857E-06    0.66222E-02    0.20787E-02   -0.13825E-03    0.11313E-02   -0.35493E-02   -0.43939E-02
    0.38300E+01    0.15177E+01    0.40680E+01    0.15365E-07    0.29590E-06    0.64366E-02    0.19926E-02   -0.13265E-03    0.11283E-02   -0.34472E-02   -0.43025E-02
    0.38400E+01    0.15071E+01    0.35466E+01    0.15046E-07    0.19608E-06    0.62563E-02    0.19101E-02   -0.12729E-03    0.11254E-02   -0.33469E-02   -0.42122E-02
    0.38500E+01    0.14966E+01    0.30475E+01    0.14734E-07    0.12440E-06    0.60811E-02    0.18310E-02   -0.12214E-03    0.11224E-02   -0.32486E-02   -0.41230E-02
    0.38600E+01    0.14862E+01    0.25879E+01    0.14429E-07    0.76182E-07    0.59109E-02    0.17553E-02   -0.11720E-03    0.11195E-02   -0.31521E-02   -0.40348E-02
    0.38700E+01    0.14759E+01    0.21989E+01    0.14130E-07    0.46733E-07    0.57455E-02    0.16827E-02   -0.11246E-03    0.11166E-02   -0.30575E-02   -0.39477E-02
    0.38800E+01    0.14656E+01    0.19252E+01    0.13837E-07    0.31364E-07    0.55847E-02    0.16131E-02   -0.10792E-03    0.11138E-02   -0.29647E-02   -0.38617E-02
    0.38900E+01    0.14554E+01    0.17941E+01    0.13550E-07    0.25384E-07    0.54286E-02    0.15464E-02   -0.10356E-03    0.11109E-02   -0.28737E-02   -0.37768E-02
    0.39000E+01    0.14453E+01    0.17635E+01    0.13269E-07    0.24105E-07    0.52768E-02    0.14825E-02   -0.99379E-04    0.11080E-02   -0.27845E-02   -0.36932E-02
    0.39100E+01    0.14352E+01    0.17515E+01    0.12993E-07    0.23616E-07    0.51292E-02    0.14212E-02   -0.95364E-04    0.11052E-02   -0.26971E-02   -0.36110E-02
    0.39200E+01    0.14252E+01    0.17396E+01    0.12724E-07    0.23137E-07    0.49858E-02    0.13624E-02   -0.91510E-04    0.11024E-02   -0.26115E-02   -0.35303E-02
    0.39300E+01    0.14153E+01    0.17277E+01    0.12460E-07    0.22668E-07    0.48465E-02    0.13061E-02   -0.87813E-04    0.10996E-02   -0.25276E-02   -0.34510E-02
    0.39400E+01    0.14054E+01    0.17160E+01    0.12201E-07    0.22208E-07    0.47111E-02    0.12521E-02   -0.84265E-04    0.10968E-02   -0.24454E-02   -0.33732E-02
    0.39500E+01    0.13956E+01    0.17043E+01    0.11948E-07    0.21758E-07    0.45795E-02    0.12003E-02   -0.80862E-04    0.10940E-02   -0.23650E-02   -0.32968E-02
    0.39600E+01    0.13859E+01    0.16927E+01    0.11699E-07    0.21316E-07    0.44516E-02    0.11507E-02   -0.77598E-04    0.10912E-02   -0.22862E-02   -0.32218E-02
    0.39700E+01    0.13762E+01    0.16811E+01    0.11456E-07    0.20883E-07    0.43274E-02    0.11032E-02   -0.74467E-04    0.10885E-02   -0.22091E-02   -0.31482E-02
    0.39800E+01    0.13666E+01    0.16697E+01    0.11218E-07    0.20459E-07    0.42067E-02    0.10577E-02   -0.71464E-04    0.10858E-02   -0.21337E-02   -0.30760E-02
    0.39900E+01    0.13571E+01    0.16583E+01    0.10985E-07    0.20043E-07    0.40893E-02    0.10140E-02   -0.68582E-04    0.10830E-02   -0.20598E-02   -0.30052E-02
    0.40000E+01    0.13476E+01    0.16470E+01    0.10757E-07    0.19636E-07    0.39753E-02    0.97218E-03   -0.65816E-04    0.10803E-02   -0.19876E-02   -0.29358E-02
    0.40100E+01    0.13382E+01    0.16357E+01    0.10533E-07    0.19236E-07    0.38644E-02    0.93204E-03   -0.63161E-04    0.10776E-02   -0.19169E-02   -0.28678E-02
    0.40200E+01    0.13289E+01    0.16246E+01    0.10314E-07    0.18845E-07    0.37566E-02    0.89355E-03   -0.60613E-04    0.10749E-02   -0.18478E-02   -0.28011E-02
    0.40300E+01    0.13196E+01    0.16135E+01    0.10100E-07    0.18462E-07    0.36519E-02    0.85665E-03   -0.58168E-04    0.10723E-02   -0.17802E-02   -0.27357E-02
    0.40400E+01    0.13104E+01    0.16024E+01    0.98896E-08    0.18086E-07    0.35501E-02    0.82129E-03   -0.55821E-04    0.10696E-02   -0.17141E-02   -0.26716E-02
    0.40500E+01    0.13012E+01    0.15915E+01    0.96839E-08    0.17718E-07    0.34512E-02    0.78739E-03   -0.53571E-04    0.10670E-02   -0.16495E-02   -0.26089E-02
    0.40600E+01    0.12921E+01    0.15806E+01    0.94824E-08    0.17357E-07    0.33551E-02    0.75491E-03   -0.51411E-04    0.10644E-02   -0.15863E-02   -0.25474E-02
    0.40700E+01    0.12831E+01    0.15698E+01    0.92851E-08    0.17003E-07    0.32617E-02    0.72378E-03   -0.49340E-04    0.10617E-02   -0.15246E-02   -0.24872E-02
    0.40800E+01    0.12741E+01    0.15591E+01    0.90919E-08    0.16657E-07    0.31709E-02    0.69395E-03   -0.47353E-04    0.10591E-02   -0.14643E-02   -0.24283E-02
    0.40900E+01    0.12652E+01    0.15484E+01    0.89026E-08    0.16317E-07    0.30826E-02    0.66535E-03   -0.45446E-04    0.10565E-02   -0.14053E-02   -0.23706E-02
    0.41000E+01    0.12564E+01    0.15378E+01    0.87173E-08    0.15985E-07    0.29969E-02    0.63793E-03   -0.43616E-04    0.10540E-02   -0.13477E-02   -0.23141E-02
    0.41100E+01    0.12476E+01    0.15273E+01    0.85358E-08    0.15659E-07    0.29135E-02    0.61163E-03   -0.41859E-04    0.10514E-02   -0.12915E-02   -0.22588E-02
    0.41200E+01    0.12389E+01    0.15168E+01    0.83581E-08    0.15339E-07    0.28324E-02    0.58641E-03   -0.40173E-04    0.10489E-02   -0.12365E-02   -0.22046E-02
    0.41300E+01    0.12302E+01    0.15064E+01    0.81840E-08    0.15026E-07    0.27537E-02    0.56223E-03   -0.38555E-04    0.10463E-02   -0.11829E-02   -0.21517E-02
    0.41400E+01    0.12216E+01    0.14961E+01    0.80135E-08    0.14719E-07    0.26771E-02    0.53905E-03   -0.37002E-04    0.10438E-02   -0.11305E-02   -0.20998E-02
    0.41500E+01    0.12131E+01    0.14859E+01    0.78466E-08    0.14419E-07    0.26027E-02    0.51683E-03   -0.35512E-04    0.10413E-02   -0.10793E-02   -0.20492E-02
    0.41600E+01    0.12046E+01    0.14757E+01    0.76831E-08    0.14125E-07    0.25303E-02    0.49554E-03   -0.34083E-04    0.10388E-02   -0.10294E-02   -0.19996E-02
    0.41700E+01    0.11962E+01    0.14656E+01    0.75230E-08    0.13836E-07    0.24601E-02    0.47514E-03   -0.32711E-04    0.10363E-02   -0.98059E-03   -0.19511E-02
    0.41800E+01    0.11878E+01    0.14555E+01    0.73663E-08    0.13553E-07    0.23917E-02    0.45558E-03   -0.31396E-04    0.10338E-02   -0.93300E-03   -0.19036E-02
    0.41900E+01    0.11795E+01    0.14455E+01    0.72128E-08    0.13276E-07    0.23253E-02    0.43683E-03   -0.30133E-04    0.10313E-02   -0.88656E-03   -0.18572E-02
    0.42000E+01    0.11713E+01    0.14356E+01    0.70624E-08    0.13005E-07    0.22608E-02    0.41885E-03   -0.28922E-04    0.10289E-02   -0.84124E-03   -0.18119E-02
    0.42100E+01    0.11631E+01    0.14258E+01    0.69152E-08    0.12739E-07    0.21980E-02    0.40161E-03   -0.27758E-04    0.10264E-02   -0.79701E-03   -0.17676E-02
    0.42200E+01    0.11549E+01    0.14160E+01    0.67710E-08    0.12479E-07    0.21370E-02    0.38507E-03   -0.26642E-04    0.10240E-02   -0.75386E-03   -0.17242E-02
    0.42300E+01    0.11468E+01    0.14063E+01    0.66299E-08    0.12224E-07    0.20777E-02    0.36921E-03   -0.25570E-04    0.10216E-02   -0.71177E-03   -0.16818E-02
    0.42400E+01    0.11388E+01    0.13966E+01    0.64916E-08    0.11974E-07    0.20200E-02    0.35401E-03   -0.24541E-04    0.10192E-02   -0.67072E-03   -0.16404E-02
    0.42500E+01    0.11308E+01    0.13870E+01    0.63562E-08    0.11729E-07    0.19640E-02    0.33944E-03   -0.23555E-04    0.10168E-02   -0.63068E-03   -0.16000E-02
    0.42600E+01    0.11229E+01    0.13775E+01    0.62237E-08    0.11489E-07    0.19095E-02    0.32548E-03   -0.22608E-04    0.10144E-02   -0.59163E-03   -0.15604E-02
    0.42700E+01    0.11151E+01    0.13680E+01    0.60939E-08    0.11253E-07    0.18566E-02    0.31209E-03   -0.21700E-04    0.10120E-02   -0.55356E-03   -0.15218E-02
    0.42800E+01    0.11073E+01    0.13586E+01    0.59667E-08    0.11023E-07    0.18052E-02    0.29926E-03   -0.20828E-04    0.10096E-02   -0.51644E-03   -0.14841E-02
    0.42900E+01    0.10995E+01    0.13493E+01    0.58423E-08    0.10797E-07    0.17551E-02    0.28696E-03   -0.19992E-04    0.10073E-02   -0.48024E-03   -0.14472E-02
    0.43000E+01    0.10918E+01    0.13400E+01    0.57204E-08    0.10576E-07    0.17065E-02    0.27517E-03   -0.19189E-04    0.10049E-02   -0.44496E-03   -0.14112E-02
    0.43100E+01    0.10842E+01    0.13308E+01    0.56010E-08    0.10360E-07    0.16592E-02    0.26385E-03   -0.18418E-04    0.10026E-02   -0.41057E-03   -0.13760E-02
    0.43200E+01    0.10766E+01    0.13217E+01    0.54841E-08    0.10147E-07    0.16133E-02    0.25300E-03   -0.17678E-04    0.10003E-02   -0.37705E-03   -0.13417E-02
    0.43300E+01    0.10690E+01    0.13126E+01    0.53697E-08    0.99396E-08    0.15686E-02    0.24260E-03   -0.16968E-04    0.99796E-03   -0.34439E-03   -0.13081E-02
    0.43400E+01    0.10615E+01    0.13035E+01    0.52576E-08    0.97359E-08    0.15252E-02    0.23262E-03   -0.16286E-04    0.99566E-03   -0.31256E-03   -0.12753E-02
    0.43500E+01    0.10541E+01    0.12946E+01    0.51479E-08    0.95363E-08    0.14829E-02    0.22306E-03   -0.15632E-04    0.99337E-03   -0.28154E-03   -0.12434E-02
    0.43600E+01    0.10467E+01    0.12857E+01    0.50404E-08    0.93408E-08    0.14419E-02    0.21390E-03   -0.15005E-04    0.99109E-03   -0.25133E-03   -0.12121E-02
    0.43700E+01    0.10394E+01    0.12768E+01    0.49352E-08    0.91494E-08    0.14020E-02    0.20511E-03   -0.14403E-04    0.98883E-03   -0.22190E-03   -0.11816E-02
    0.43800E+01    0.10321E+01    0.12680E+01    0.48322E-08    0.89618E-08    0.13632E-02    0.19669E-03   -0.13825E-04    0.98657E-03   -0.19323E-03   -0.11519E-02
    0.43900E+01    0.10249E+01    0.12593E+01    0.47313E-08    0.87780E-08    0.13255E-02    0.18862E-03   -0.13271E-04    0.98432E-03   -0.16531E-03   -0.11228E-02
    0.44000E+01    0.10177E+01    0.12506E+01    0.46325E-08    0.85980E-08    0.12889E-02    0.18087E-03   -0.12738E-04    0.98208E-03   -0.13811E-03   -0.10944E-02
    0.44100E+01    0.10105E+01    0.12420E+01    0.45357E-08    0.84216E-08    0.12532E-02    0.17345E-03   -0.12227E-04    0.97985E-03   -0.11163E-03   -0.10667E-02
    0.44200E+01    0.10035E+01    0.12335E+01    0.44410E-08    0.82488E-08    0.12186E-02    0.16632E-03   -0.11737E-04    0.97764E-03   -0.85837E-04   -0.10397E-02
    0.44300E+01    0.99642E+00    0.12250E+01    0.43483E-08    0.80795E-08    0.11849E-02    0.15949E-03   -0.11266E-04    0.97543E-03   -0.60728E-04   -0.10134E-02
    0.44400E+01    0.98943E+00    0.12165E+01    0.42574E-08    0.79137E-08    0.11522E-02    0.15294E-03   -0.10814E-04    0.97323E-03   -0.36285E-04   -0.98762E-03
    0.44500E+01    0.98249E+00    0.12082E+01    0.41685E-08    0.77513E-08    0.11203E-02    0.14666E-03   -0.10380E-04    0.97104E-03   -0.12492E-04   -0.96251E-03
    0.44600E+01    0.97560E+00    0.11998E+01    0.40814E-08    0.75922E-08    0.10894E-02    0.14064E-03   -0.99639E-05    0.96886E-03    0.10666E-04   -0.93801E-03
    0.44700E+01    0.96876E+00    0.11916E+01    0.39962E-08    0.74363E-08    0.10593E-02    0.13487E-03   -0.95646E-05    0.96670E-03    0.33203E-04   -0.91411E-03
    0.44800E+01    0.96197E+00    0.11834E+01    0.39127E-08    0.72836E-08    0.10301E-02    0.12934E-03   -0.91814E-05    0.96454E-03    0.55135E-04   -0.89079E-03
    0.44900E+01    0.95522E+00    0.11752E+01    0.38309E-08    0.71341E-08    0.10016E-02    0.12404E-03   -0.88137E-05    0.96239E-03    0.76475E-04   -0.86804E-03
    0.45000E+01    0.94852E+00    0.11671E+01    0.37509E-08    0.69876E-08    0.97398E-03    0.11896E-03   -0.84607E-05    0.96025E-03    0.97240E-04   -0.84584E-03
    0.45100E+01    0.94187E+00    0.11591E+01    0.36725E-08    0.68440E-08    0.94710E-03    0.11408E-03   -0.81216E-05    0.95812E-03    0.11744E-03   -0.82419E-03
    0.45200E+01    0.93526E+00    0.11511E+01    0.35958E-08    0.67034E-08    0.92097E-03    0.10940E-03   -0.77961E-05    0.95600E-03    0.13710E-03   -0.80307E-03
    0.45300E+01    0.92870E+00    0.11431E+01    0.35206E-08    0.65657E-08    0.89556E-03    0.10491E-03   -0.74837E-05    0.95389E-03    0.15622E-03   -0.78247E-03
    0.45400E+01    0.92218E+00    0.11352E+01    0.34470E-08    0.64308E-08    0.87085E-03    0.10061E-03   -0.71838E-05    0.95179E-03    0.17481E-03   -0.76238E-03
    0.45500E+01    0.91571E+00    0.11274E+01    0.33750E-08    0.62987E-08    0.84684E-03    0.96480E-04   -0.68961E-05    0.94969E-03    0.19289E-03   -0.74278E-03
    0.45600E+01    0.90929E+00    0.11196E+01    0.33044E-08    0.61692E-08    0.82349E-03    0.92526E-04   -0.66199E-05    0.94761E-03    0.21047E-03   -0.72367E-03
    0.45700E+01    0.90291E+00    0.11119E+01    0.32354E-08    0.60424E-08    0.80079E-03    0.88735E-04   -0.63550E-05    0.94554E-03    0.22756E-03   -0.70504E-03
    0.45800E+01    0.89657E+00    0.11042E+01    0.31677E-08    0.59182E-08    0.77872E-03    0.85101E-04   -0.61007E-05    0.94347E-03    0.24418E-03   -0.68687E-03
    0.45900E+01    0.89028E+00    0.10966E+01    0.31015E-08    0.57966E-08    0.75726E-03    0.81616E-04   -0.58566E-05    0.94141E-03    0.26033E-03   -0.66915E-03
    0.46000E+01    0.88403E+00    0.10891E+01    0.30367E-08    0.56774E-08    0.73640E-03    0.78273E-04   -0.56223E-05    0.93937E-03    0.27603E-03   -0.65187E-03
    0.46100E+01    0.87783E+00    0.10815E+01    0.29732E-08    0.55607E-08    0.71612E-03    0.75067E-04   -0.53973E-05    0.93733E-03    0.29129E-03   -0.63503E-03
    0.46200E+01    0.87167E+00    0.10741E+01    0.29110E-08    0.54463E-08    0.69639E-03    0.71991E-04   -0.51812E-05    0.93530E-03    0.30613E-03   -0.61860E-03
    0.46300E+01    0.86555E+00    0.10667E+01    0.28502E-08    0.53343E-08    0.67721E-03    0.69041E-04   -0.49738E-05    0.93328E-03    0.32054E-03   -0.60259E-03
    0.46400E+01    0.85948E+00    0.10593E+01    0.27906E-08    0.52246E-08    0.65856E-03    0.66212E-04   -0.47747E-05    0.93127E-03    0.33454E-03   -0.58697E-03
    0.46500E+01    0.85344E+00    0.10520E+01    0.27322E-08    0.51172E-08    0.64043E-03    0.63500E-04   -0.45837E-05    0.92926E-03    0.34814E-03   -0.57175E-03
    0.46600E+01    0.84745E+00    0.10447E+01    0.26751E-08    0.50119E-08    0.62280E-03    0.60900E-04   -0.44004E-05    0.92727E-03    0.36135E-03   -0.55692E-03
    0.46700E+01    0.84150E+00    0.10375E+01    0.26191E-08    0.49088E-08    0.60566E-03    0.58408E-04   -0.42244E-05    0.92528E-03    0.37418E-03   -0.54246E-03
    0.46800E+01    0.83560E+00    0.10304E+01    0.25644E-08    0.48078E-08    0.58900E-03    0.56018E-04   -0.40556E-05    0.92330E-03    0.38664E-03   -0.52836E-03
    0.46900E+01    0.82973E+00    0.10232E+01    0.25107E-08    0.47089E-08    0.57280E-03    0.53727E-04   -0.38935E-05    0.92134E-03    0.39874E-03   -0.51462E-03
    0.47000E+01    0.82390E+00    0.10162E+01    0.24582E-08    0.46120E-08    0.55705E-03    0.51529E-04   -0.37379E-05    0.91937E-03    0.41048E-03   -0.50123E-03
    0.47100E+01    0.81812E+00    0.10092E+01    0.24068E-08    0.45171E-08    0.54173E-03    0.49421E-04   -0.35885E-05    0.91742E-03    0.42189E-03   -0.48817E-03
    0.47200E+01    0.81238E+00    0.10022E+01    0.23565E-08    0.44241E-08    0.52683E-03    0.47398E-04   -0.34450E-05    0.91548E-03    0.43295E-03   -0.47545E-03
    0.47300E+01    0.80667E+00    0.99526E+00    0.23072E-08    0.43331E-08    0.51234E-03    0.45458E-04   -0.33073E-05    0.91354E-03    0.44370E-03   -0.46305E-03
    0.47400E+01    0.80101E+00    0.98838E+00    0.22589E-08    0.42439E-08    0.49826E-03    0.43597E-04   -0.31751E-05    0.91161E-03    0.45412E-03   -0.45096E-03
    0.47500E+01    0.79538E+00    0.98155E+00    0.22117E-08    0.41565E-08    0.48456E-03    0.41814E-04   -0.30482E-05    0.90969E-03    0.46424E-03   -0.43919E-03
    0.47600E+01    0.78980E+00    0.97477E+00    0.21654E-08    0.40710E-08    0.47125E-03    0.40104E-04   -0.29264E-05    0.90778E-03    0.47405E-03   -0.42771E-03
    0.47700E+01    0.78425E+00    0.96803E+00    0.21201E-08    0.39872E-08    0.45830E-03    0.38464E-04   -0.28095E-05    0.90588E-03    0.48356E-03   -0.41653E-03
    0.47800E+01    0.77874E+00    0.96135E+00    0.20757E-08    0.39051E-08    0.44571E-03    0.36892E-04   -0.26973E-05    0.90398E-03    0.49279E-03   -0.40563E-03
    0.47900E+01    0.77327E+00    0.95470E+00    0.20323E-08    0.38247E-08    0.43347E-03    0.35385E-04   -0.25897E-05    0.90210E-03    0.50174E-03   -0.39501E-03
    0.48000E+01    0.76784E+00    0.94810E+00    0.19898E-08    0.37459E-08    0.42157E-03    0.33939E-04   -0.24863E-05    0.90022E-03    0.51041E-03   -0.38467E-03
    0.48100E+01    0.76245E+00    0.94155E+00    0.19482E-08    0.36688E-08    0.40999E-03    0.32552E-04   -0.23870E-05    0.89834E-03    0.51882E-03   -0.37458E-03
    0.48200E+01    0.75710E+00    0.93504E+00    0.19074E-08    0.35933E-08    0.39874E-03    0.31221E-04   -0.22917E-05    0.89648E-03    0.52698E-03   -0.36476E-03
    0.48300E+01    0.75178E+00    0.92858E+00    0.18675E-08    0.35192E-08    0.38779E-03    0.29944E-04   -0.22001E-05    0.89462E-03    0.53488E-03   -0.35519E-03
    0.48400E+01    0.74650E+00    0.92216E+00    0.18284E-08    0.34468E-08    0.37715E-03    0.28720E-04   -0.21123E-05    0.89277E-03    0.54253E-03   -0.34586E-03
    0.48500E+01    0.74125E+00    0.91578E+00    0.17902E-08    0.33758E-08    0.36680E-03    0.27546E-04   -0.20279E-05    0.89093E-03    0.54995E-03   -0.33677E-03
    0.48600E+01    0.73605E+00    0.90945E+00    0.17527E-08    0.33062E-08    0.35673E-03    0.26421E-04   -0.19470E-05    0.88910E-03    0.55713E-03   -0.32792E-03
    0.48700E+01    0.73088E+00    0.90317E+00    0.17160E-08    0.32381E-08    0.34695E-03    0.25342E-04   -0.18693E-05    0.88727E-03    0.56408E-03   -0.31930E-03
    0.48800E+01    0.72574E+00    0.89692E+00    0.16801E-08    0.31714E-08    0.33743E-03    0.24308E-04   -0.17948E-05    0.88545E-03    0.57081E-03   -0.31090E-03
    0.48900E+01    0.72064E+00    0.89072E+00    0.16450E-08    0.31061E-08    0.32818E-03    0.23315E-04   -0.17232E-05    0.88364E-03    0.57733E-03   -0.30272E-03
    0.49000E+01    0.71558E+00    0.88456E+00    0.16105E-08    0.30421E-08    0.31918E-03    0.22364E-04   -0.16545E-05    0.88184E-03    0.58364E-03   -0.29475E-03
    0.49100E+01    0.71055E+00    0.87844E+00    0.15768E-08    0.29794E-08    0.31043E-03    0.21451E-04   -0.15885E-05    0.88004E-03    0.58974E-03   -0.28698E-03
    0.49200E+01    0.70556E+00    0.87237E+00    0.15438E-08    0.29180E-08    0.30192E-03    0.20574E-04   -0.15251E-05    0.87825E-03    0.59565E-03   -0.27942E-03
    0.49300E+01    0.70060E+00    0.86633E+00    0.15115E-08    0.28579E-08    0.29365E-03    0.19734E-04   -0.14643E-05    0.87647E-03    0.60136E-03   -0.27205E-03
    0.49400E+01    0.69568E+00    0.86034E+00    0.14799E-08    0.27990E-08    0.28560E-03    0.18928E-04   -0.14059E-05    0.87470E-03    0.60688E-03   -0.26487E-03
    0.49500E+01    0.69079E+00    0.85439E+00    0.14489E-08    0.27413E-08    0.27777E-03    0.18155E-04   -0.13498E-05    0.87293E-03    0.61222E-03   -0.25788E-03
    0.49600E+01    0.68594E+00    0.84848E+00    0.14186E-08    0.26848E-08    0.27016E-03    0.17414E-04   -0.12960E-05    0.87117E-03    0.61737E-03   -0.25107E-03
    0.49700E+01    0.68112E+00    0.84261E+00    0.13889E-08    0.26295E-08    0.26276E-03    0.16704E-04   -0.12443E-05    0.86942E-03    0.62236E-03   -0.24444E-03
    0.49800E+01    0.67633E+00    0.83678E+00    0.13598E-08    0.25753E-08    0.25557E-03    0.16023E-04   -0.11948E-05    0.86767E-03    0.62717E-03   -0.23798E-03
    0.49900E+01    0.67158E+00    0.83099E+00    0.13313E-08    0.25222E-08    0.24857E-03    0.15370E-04   -0.11472E-05    0.86593E-03    0.63182E-03   -0.23169E-03
    0.50000E+01    0.66686E+00    0.82525E+00    0.13035E-08    0.24703E-08    0.24177E-03    0.14743E-04   -0.11015E-05    0.86420E-03    0.63631E-03   -0.22556E-03
    0.50100E+01    0.66218E+00    0.81954E+00    0.12762E-08    0.24193E-08    0.23515E-03    0.14141E-04   -0.10576E-05    0.86247E-03    0.64064E-03   -0.21959E-03
    0.50200E+01    0.65752E+00    0.81387E+00    0.12495E-08    0.23695E-08    0.22871E-03    0.13564E-04   -0.10154E-05    0.86075E-03    0.64482E-03   -0.21378E-03
    0.50300E+01    0.65290E+00    0.80823E+00    0.12233E-08    0.23206E-08    0.22245E-03    0.13011E-04   -0.97494E-06    0.85904E-03    0.64885E-03   -0.20812E-03
    0.50400E+01    0.64831E+00    0.80264E+00    0.11977E-08    0.22728E-08    0.21636E-03    0.12480E-04   -0.93609E-06    0.85734E-03    0.65274E-03   -0.20260E-03
    0.50500E+01    0.64376E+00    0.79709E+00    0.11726E-08    0.22259E-08    0.21044E-03    0.11971E-04   -0.89879E-06    0.85564E-03    0.65649E-03   -0.19723E-03
    0.50600E+01    0.63923E+00    0.79157E+00    0.11481E-08    0.21800E-08    0.20469E-03    0.11483E-04   -0.86300E-06    0.85395E-03    0.66010E-03   -0.19201E-03
    0.50700E+01    0.63474E+00    0.78609E+00    0.11240E-08    0.21351E-08    0.19909E-03    0.11015E-04   -0.82864E-06    0.85226E-03    0.66358E-03   -0.18691E-03
    0.50800E+01    0.63028E+00    0.78065E+00    0.11005E-08    0.20911E-08    0.19364E-03    0.10566E-04   -0.79566E-06    0.85058E-03    0.66692E-03   -0.18196E-03
    0.50900E+01    0.62585E+00    0.77525E+00    0.10775E-08    0.20480E-08    0.18835E-03    0.10136E-04   -0.76399E-06    0.84891E-03    0.67014E-03   -0.17713E-03
    0.51000E+01    0.62145E+00    0.76989E+00    0.10549E-08    0.20057E-08    0.18320E-03    0.97231E-05   -0.73359E-06    0.84725E-03    0.67324E-03   -0.17243E-03
    0.51100E+01    0.61709E+00    0.76456E+00    0.10328E-08    0.19644E-08    0.17819E-03    0.93269E-05   -0.70438E-06    0.84559E-03    0.67622E-03   -0.16785E-03
    0.51200E+01    0.61275E+00    0.75927E+00    0.10112E-08    0.19239E-08    0.17332E-03    0.89467E-05   -0.67634E-06    0.84394E-03    0.67909E-03   -0.16339E-03
    0.51300E+01    0.60844E+00    0.75401E+00    0.99003E-09    0.18842E-08    0.16858E-03    0.85820E-05   -0.64940E-06    0.84229E-03    0.68184E-03   -0.15905E-03
    0.51400E+01    0.60417E+00    0.74879E+00    0.96930E-09    0.18453E-08    0.16398E-03    0.82322E-05   -0.62355E-06    0.84065E-03    0.68448E-03   -0.15482E-03
    0.51500E+01    0.59992E+00    0.74361E+00    0.94901E-09    0.18073E-08    0.15950E-03    0.78968E-05   -0.59873E-06    0.83902E-03    0.68701E-03   -0.15071E-03
    0.51600E+01    0.59570E+00    0.73846E+00    0.92914E-09    0.17700E-08    0.15514E-03    0.75752E-05   -0.57491E-06    0.83739E-03    0.68944E-03   -0.14670E-03
    0.51700E+01    0.59152E+00    0.73335E+00    0.90968E-09    0.17335E-08    0.15090E-03    0.72668E-05   -0.55204E-06    0.83577E-03    0.69177E-03   -0.14280E-03
    0.51800E+01    0.58736E+00    0.72827E+00    0.89064E-09    0.16977E-08    0.14678E-03    0.69711E-05   -0.53009E-06    0.83416E-03    0.69400E-03   -0.13900E-03
    0.51900E+01    0.58323E+00    0.72323E+00    0.87199E-09    0.16627E-08    0.14277E-03    0.66874E-05   -0.50902E-06    0.83255E-03    0.69614E-03   -0.13530E-03
    0.52000E+01    0.57913E+00    0.71822E+00    0.85373E-09    0.16284E-08    0.13888E-03    0.64152E-05   -0.48878E-06    0.83095E-03    0.69818E-03   -0.13170E-03
    0.52100E+01    0.57506E+00    0.71325E+00    0.83585E-09    0.15948E-08    0.13509E-03    0.61541E-05   -0.46934E-06    0.82935E-03    0.70013E-03   -0.12819E-03
    0.52200E+01    0.57102E+00    0.70831E+00    0.81835E-09    0.15620E-08    0.13140E-03    0.59035E-05   -0.45067E-06    0.82777E-03    0.70199E-03   -0.12478E-03
    0.52300E+01    0.56700E+00    0.70341E+00    0.80121E-09    0.15297E-08    0.12781E-03    0.56631E-05   -0.43274E-06    0.82618E-03    0.70377E-03   -0.12145E-03
    0.52400E+01    0.56302E+00    0.69854E+00    0.78443E-09    0.14982E-08    0.12432E-03    0.54325E-05   -0.41553E-06    0.82461E-03    0.70547E-03   -0.11821E-03
    0.52500E+01    0.55906E+00    0.69370E+00    0.76800E-09    0.14673E-08    0.12093E-03    0.52114E-05   -0.39900E-06    0.82303E-03    0.70708E-03   -0.11506E-03
    0.52600E+01    0.55513E+00    0.68890E+00    0.75192E-09    0.14370E-08    0.11763E-03    0.49993E-05   -0.38314E-06    0.82147E-03    0.70862E-03   -0.11200E-03
    0.52700E+01    0.55123E+00    0.68413E+00    0.73618E-09    0.14074E-08    0.11442E-03    0.47960E-05   -0.36792E-06    0.81991E-03    0.71008E-03   -0.10901E-03
    0.52800E+01    0.54735E+00    0.67939E+00    0.72076E-09    0.13783E-08    0.11130E-03    0.46010E-05   -0.35330E-06    0.81836E-03    0.71146E-03   -0.10610E-03
